Caf,h,Qf,Ca,T,Tf,Tc,Qc,Tcf,Q
1,5.99994975,100,0.03723720154,402.352313,320,345.4385593,15,300,100
1,5.99994975,100,0.03723476015,402.3529424,320,345.4384883,15,300,100
1,5.99994975,100,0.03723231359,402.3535713,320,345.4384187,15,300,100
1,5.99994975,100,0.03722845383,402.3545648,320,345.4383077,15,300,100
1,5.99994975,100,0.03722209009,402.3562082,320,345.4381215,15,300,100
1,5.99994975,100,0.03723726324,402.3522988,320,345.4385599,15,300,100
1,5.99994975,100,0.03723492537,402.3528993,320,345.4384937,15,300,100
1,5.99994975,100,0.03723147821,402.3537854,320,345.438395,15,300,100
1,5.99994975,100,0.03722639259,402.3550969,320,345.4382474,15,300,100
1,5.99994975,100,0.03721947386,402.3568844,320,345.4380446,15,300,100
1,5.99994975,100,0.03721284301,402.358598,320,345.43785,15,300,100
1,5.99994975,100,0.03720705839,402.3600932,320,345.4376801,15,300,100
1,5.99994975,100,0.03720234671,402.3613111,320,345.4375416,15,300,100
1,5.99994975,100,0.03722749262,402.3548206,320,345.4382753,15,300,100
1,5.99994975,100,0.03721713178,402.3574862,320,345.437978,15,300,100
1,5.99994975,100,0.03723333532,402.3533117,320,345.4384459,15,300,100
1,5.99994975,100,0.03723100818,402.3539069,320,345.4383816,15,300,100
1,5.99994975,100,0.03722683126,402.3549832,320,345.4382607,15,300,100
1,5.99994975,100,0.03721997058,402.3567559,320,345.4380593,15,300,100
1,5.99994975,100,0.03723910763,402.3518238,320,345.438613,15,300,100
1,5.99994975,100,0.03724241456,402.3509728,320,345.4387082,15,300,100
1,5.99994975,100,0.0372407555,402.3514008,320,345.43866,15,300,100
1,5.99994975,100,0.03724033948,402.3515061,320,345.4386492,15,300,100
1,5.99994975,100,0.03723973537,402.3516614,320,345.4386319,15,300,100
1,5.99994975,100,0.03723883294,402.3518934,320,345.4386061,15,300,100
1,5.99994975,100,0.03723741001,402.3522594,320,345.4385653,15,300,100
1,5.99994975,100,0.03723497836,402.3528869,320,345.4384941,15,300,100
1,5.99994975,100,0.03723269979,402.3534723,320,345.4384296,15,300,100
1,5.99994975,100,0.03722919375,402.354374,320,345.4383292,15,300,100
1,5.99994975,100,0.03722318021,402.3559264,320,345.4381535,15,300,100
1,5.99994975,100,0.03723990558,402.351618,320,345.4386361,15,300,100
1,5.99994975,100,0.03723912956,402.3518173,320,345.4386144,15,300,100
1,5.99994975,100,0.03723787276,402.3521403,320,345.4385785,15,300,100
1,5.99994975,100,0.03723538092,402.3527849,320,345.4385047,15,300,100
1,5.99994975,100,0.03723334649,402.353307,320,345.4384475,15,300,100
1,5.99994975,100,0.03723044907,402.3540506,320,345.4383655,15,300,100
1,5.99994975,100,0.03722520607,402.3554031,320,345.4382129,15,300,100
1,5.99994975,100,0.03721815919,402.3572241,320,345.438006,15,300,100
1,5.99994975,100,0.03724038834,402.351494,320,345.4386498,15,300,100
1,5.99994975,100,0.03723970648,402.3516689,320,345.4386309,15,300,100
1,5.99994975,100,0.03731924318,402.3076072,320,345.3560721,15,299.8,100
